AAPL,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2011-02-11,10.7024,10.7912,10.6639,10.7636,434748754.44491,10.54222,10.382344999999999,10.0614064,0.006555384111843754
2011-02-14,10.7616,10.8417,10.7586,10.8318,367092744.78994,10.60206,10.39855,10.0861384,0.006336170054628498
2011-02-15,10.8328,10.8565,10.7844,10.8545,335106014.44994,10.64669,10.427585,10.1117588,0.0020956812348824627
2011-02-16,10.8782,11.0057,10.8722,10.9512,562630050.62608,10.70328,10.464175000000001,10.137653799999999,0.008908747524068339
2011-02-17,10.7696,10.8653,10.7528,10.8071,626846104.55637,10.74802,10.502790000000001,10.1618522,-0.01315837533786246
2011-02-18,10.8071,10.8417,10.5405,10.5721,963112722.60994,10.76018,10.538745,10.1796518,-0.021744963958878816
2011-02-22,10.3112,10.4181,10.1848,10.2125,1030748997.9345,10.720180000000001,10.540524999999999,10.1910298,-0.03401405586401951
2011-02-23,10.2135,10.3953,10.2125,10.334,794480883.55273,10.68234,10.542349999999999,10.204343999999999,0.011897184822521334
2011-02-24,10.3754,10.4111,10.2045,10.342,591176302.79954,10.636230000000001,10.54088,10.2171662,0.0007741436036385885
2011-02-25,10.4161,10.5067,10.4012,10.4989,448941532.81934,10.616769999999999,10.548185,10.2339366,0.015171146780119882
2011-02-28,10.5908,10.7084,10.5888,10.653,476087927.31195,10.60571,10.573965000000001,10.253749000000001,0.01467772814294821
2011-03-01,10.7144,10.728,10.4852,10.5345,538718043.13177,10.575980000000001,10.58902,10.270678,-0.011123627147282544
2011-03-02,10.5533,10.6876,10.5057,10.6195,712470103.1064,10.55248,10.599585000000001,10.2896822,0.00806872656509583
2011-03-03,10.7804,10.8506,10.734,10.8436,590436299.32642,10.541720000000002,10.622499999999999,10.3122006,0.021102688450492124
2011-03-04,10.8436,10.8653,10.7902,10.8565,536041333.46857,10.54666,10.64734,10.333791999999999,0.0011896418163710454
2011-03-07,10.9058,10.9078,10.5947,10.7182,645710710.01269,10.56127,10.660725000000001,10.3520246,-0.012738912172431394
2011-03-08,10.7004,10.7795,10.6235,10.729,421383283.02268,10.612919999999999,10.66655,10.3714018,0.0010076318784870697
2011-03-09,10.6975,10.6995,10.573,10.6303,536559865.12528,10.64255,10.662445,10.3881728,-0.009199366203746728
2011-03-10,10.5235,10.5484,10.4032,10.4554,600511939.10057,10.65389,10.64506,10.4009716,-0.01645296934235163
2011-03-11,10.4072,10.6253,10.4072,10.6165,556773237.29495,10.66565,10.64121,10.417091399999999,0.015408305755877372
2011-03-14,10.6422,10.7518,10.5947,10.6639,516272246.47338,10.66674,10.636225,10.435127,0.004464748269203511
2011-03-15,10.3102,10.4912,10.2569,10.4191,852953944.59335,10.6552,10.615590000000001,10.448938,-0.0229559542006208
2011-03-16,10.3102,10.346,9.83916,9.95268,1365498587.5553,10.588518,10.570499,10.4492124,-0.04476586269447447
2011-03-17,10.1622,10.2421,9.97256,10.094,779846963.7674,10.513558,10.527638999999999,10.4512676,0.014199190569776032
2011-03-18,10.1612,10.1988,9.95168,9.97256,891398611.29859,10.425163999999999,10.485912,10.4492348,-0.012030909451159033
2011-03-21,10.1384,10.246,10.1118,10.2324,489101861.16658,10.376584,10.468926999999999,10.452558799999998,0.026055496281797375
2011-03-22,10.332,10.334,10.2284,10.2915,386031919.71098,10.332834,10.472877,10.455620800000002,0.005775771080098524
2011-03-23,10.2314,10.2599,10.1324,10.2294,441487294.74397,10.292743999999999,10.467647000000001,10.453648799999998,-0.006034105815478696
2011-03-24,10.3102,10.4356,10.2204,10.4062,478968835.81033,10.287824,10.470856999999999,10.4556868,0.017283516139753985
2011-03-25,10.495,10.6175,10.4654,10.6025,531376902.5841,10.286424,10.476037000000002,10.4599508,0.018863754300320945
2011-03-28,10.654,10.6866,10.5681,10.5681,365613926.5002,10.276844,10.471791999999999,10.462796800000001,-0.003244517802405089
2011-03-29,10.4803,10.5848,10.4375,10.5848,416985443.29007,10.293414,10.474307,10.4643388,0.0015802272877811774
2011-03-30,10.5769,10.5819,10.4783,10.5127,389176187.51151,10.349416,10.468967,10.4691168,-0.00681165444788745
2011-03-31,10.4485,10.5493,10.4375,10.5097,324239785.46476,10.390986000000002,10.452272,10.4749228,-0.0002853691249631307
2011-04-01,10.5888,10.6035,10.3558,10.3933,495005388.49584,10.433060000000001,10.429112,10.4820928,-0.01107548264936209
2011-04-04,10.3933,10.3943,10.2045,10.2905,543559066.45598,10.43887,10.407727,10.490842800000001,-0.00989098746307715
2011-04-05,10.1503,10.3221,10.1344,10.2214,571515863.4638,10.43186,10.382347,10.4917328,-0.006714931247266964
2011-04-06,10.2985,10.3724,10.1691,10.1948,475976599.60669,10.4284,10.360572000000001,10.4896788,-0.0026023832351731446
2011-04-07,10.1958,10.2669,10.1354,10.1958,441796831.42761,10.40736,10.347591999999999,10.486166800000001,9.808922195619907e-05
2011-04-08,10.2529,10.2579,10.0722,10.1058,446214802.38447,10.35769,10.322057000000001,10.4812268,-0.00882716412640494
2011-04-11,10.0911,10.1236,9.95268,9.9774,472158003.12364,10.29862,10.287732,10.4780268,-0.012705575016327297
2011-04-12,9.97356,10.0662,9.95764,10.0258,503422233.81816,10.24272,10.268066999999999,10.473874799999999,0.004850963176779688
2011-04-13,10.0999,10.1384,10.0288,10.1384,409698530.38613,10.205290000000002,10.277353,10.4684788,0.011231023958187869
2011-04-14,10.094,10.1344,10.015,10.0258,356961142.98656,10.156899999999998,10.273943,10.4612888,-0.011106288960782806
2011-04-15,10.0624,10.0633,9.85596,9.8767,536840404.26012,10.10524,10.26915,10.451628800000002,-0.014871631191525903
2011-04-18,9.83324,10.0199,9.65645,10.009,724554015.50707,10.077090000000002,10.25798,10.442798799999998,0.013395162351797829
2011-04-19,10.0516,10.1928,10.004,10.1888,495473986.45451,10.073830000000001,10.252844999999999,10.434324799999999,0.01796383255070433
2011-04-20,10.3674,10.4278,10.3004,10.327,800946202.95307,10.087050000000001,10.257724999999999,10.4266168,0.013563913316582799
2011-04-21,10.6876,10.7104,10.5097,10.5769,891730998.73917,10.12516,10.266259999999999,10.4220928,0.024198702430521912
2011-04-25,10.5711,10.6698,10.5642,10.647,314644963.32163,10.179280000000002,10.268485,10.4211628,0.006627650823965547
2011-04-26,10.6639,10.7064,10.5355,10.5672,399645529.75971,10.23826,10.26844,10.417234800000001,-0.007495069033530588
2011-04-27,10.6244,10.6263,10.4674,10.5593,420563963.55868,10.29161,10.267165,10.4117848,-0.0007475963358315463
2011-04-28,10.4415,10.5474,10.421,10.4584,427038074.35975,10.323609999999999,10.26445,10.403862799999999,-0.009555557660072322
2011-04-29,10.4654,10.6756,10.4554,10.5593,1189500903.3348,10.37696,10.266929999999999,10.3960248,0.009647747265356221
2011-05-02,10.5464,10.5691,10.4201,10.4445,522914431.68422,10.433739999999998,10.269490000000001,10.388772800000002,-0.010871932798575679
2011-05-03,10.4932,10.5513,10.4239,10.4998,370978009.31066,10.48282,10.279955,10.3873268,0.005294652688017765
2011-05-04,10.5018,10.6105,10.4614,10.5414,462497714.76166,10.51808,10.295955000000001,10.3939048,0.003961980228194717
2011-05-05,10.5037,10.5848,10.4375,10.4584,397174268.33726,10.53122,10.309135000000001,10.396392800000001,-0.007873716963591182
2011-05-06,10.5503,10.5553,10.4425,10.4544,331554489.03628,10.51897,10.322065,10.3986408,-0.0003824676814808692
2011-05-09,10.4922,10.5305,10.4505,10.4832,242302785.75792,10.50259,10.340934999999998,10.3983268,0.0027548209366392573
2011-05-10,10.5186,10.5454,10.4544,10.5385,337547135.22887,10.49972,10.36899,10.3960368,0.005275106837606902
2011-05-11,10.5295,10.5553,10.4131,10.4714,395583793.28488,10.49093,10.39127,10.3947748,-0.006367130046970759
2011-05-12,10.4495,10.4684,10.3221,10.4524,378711923.8843,10.49033,10.406970000000001,10.3914328,-0.0018144660694843218
2011-05-13,10.4298,10.4435,10.2649,10.2699,385874021.78035,10.46139,10.419175,10.379958799999999,-0.017460104856301006
2011-05-16,10.2294,10.2925,10.0318,10.0525,532122429.15879,10.42219,10.427965,10.3638788,-0.0211686579226672
2011-05-17,10.013,10.1384,9.97455,10.1384,535459415.23566,10.386050000000001,10.434434999999999,10.352282800000001,0.008545138025366938
2011-05-18,10.1493,10.2866,10.1344,10.2489,395580338.68863,10.3568,10.43744,10.3426808,0.010899155685315298
2011-05-19,10.3162,10.327,10.2135,10.2709,308585646.05394,10.33805,10.434635,10.335492799999999,0.0021465718272202228
2011-05-20,10.246,10.2836,10.1058,10.1108,400150726.99889,10.30369,10.41133,10.328600799999998,-0.015587728436651127
2011-05-23,9.95367,10.1334,9.93495,10.0871,452552861.62746,10.26408,10.383334999999999,10.318012799999998,-0.002344028167899692
2011-05-24,10.1188,10.1305,9.99323,10.019,381058357.13657,10.21213,10.355925000000001,10.305114799999998,-0.006751197073489812
