AMZN,Open,High,Low,Close,Volume,10 day average,20 day average,50 day average,Daily Return
2011-01-10,185.04,185.29,182.51,184.68,3376677,183.989,181.83999999999997,175.03240000000002,-0.004366812227074246
2011-01-11,185.42,186.0,183.21,184.34,2815813,184.31400000000002,182.34449999999998,175.41460000000004,-0.0018410223088586308
2011-01-12,185.36,185.38,183.3,184.08,2679086,184.385,182.8515,175.84459999999999,-0.0014104372355430161
2011-01-13,183.6,186.45,183.51,185.53,3368767,184.663,183.3495,176.263,0.007877009995653994
2011-01-14,185.5,188.94,184.92,188.75,3664964,185.538,183.88500000000002,176.66859999999997,0.01735568371691909
2011-01-18,188.66,191.6,188.25,191.25,3901725,186.241,184.5685,177.115,0.013245033112582849
2011-01-19,190.9,191.0,186.21,186.87,3889409,186.427,184.7475,177.437,-0.022901960784313724
2011-01-20,185.29,186.85,181.0,181.96,5717567,185.881,184.608,177.63639999999998,-0.026274950500347782
2011-01-21,183.0,183.25,176.84,177.42,6812239,185.037,184.241,177.77939999999998,-0.02495053857990781
2011-01-24,177.95,178.49,174.1475,176.85,5602344,184.173,183.954,177.8498,-0.003212715590125037
2011-01-25,175.502,176.75,174.28,176.7,4653275,183.375,183.682,177.97639999999998,-0.0008481764206955678
2011-01-26,177.51,177.89,174.63,175.39,3762166,182.48,183.397,178.17059999999998,-0.007413695529145503
2011-01-27,177.48,185.0,177.31,184.45,14594319,182.517,183.451,178.6816,0.05165630879753702
2011-01-28,171.45,173.71,166.9,171.14,19914849,181.07799999999997,182.8705,178.9488,-0.07216047709406348
2011-01-31,170.16,171.44,167.41,169.64,6721544,179.16699999999997,182.35250000000002,179.1746,-0.00876475400257104
2011-02-01,170.52,173.1,169.51,172.11,5089747,177.253,181.747,179.3334,0.014560245225182955
2011-02-02,171.42,175.2,170.87,173.53,4551447,175.919,181.173,179.50760000000002,0.008250537446981454
2011-02-03,173.5,174.67,171.95,173.71,3681258,175.094,180.4875,179.57399999999998,0.0010372846193742458
2011-02-04,174.0,177.19,173.75,175.93,4352490,174.945,179.991,179.7286,0.012779920557250524
2011-02-07,176.15,177.55,174.77,176.43,5256697,174.903,179.538,179.71220000000002,0.002842039447507494
2011-02-08,176.66,183.11,176.59,183.06,7802311,175.539,179.45700000000002,179.8234,0.037578643087910146
2011-02-09,183.15,186.47,182.26,185.3,8315840,176.53000000000003,179.505,179.93960000000004,0.012236425215776281
2011-02-10,184.39,187.24,183.6,186.21,5332603,176.706,179.6115,180.15579999999997,0.004910955207771073
2011-02-11,185.562,189.5,185.37,189.25,4497698,178.517,179.79749999999999,180.4098,0.016325653831695375
2011-02-14,189.25,191.4,188.35,190.42,4070688,180.595,179.881,180.68759999999997,0.006182298546895559
2011-02-15,188.73,190.49,188.25,189.03,3890805,182.287,179.77,180.95460000000003,-0.007299653397752293
2011-02-16,189.77,190.0,186.35,186.62,4633081,183.596,179.7575,181.12599999999998,-0.012749299053060326
2011-02-17,185.77,189.09,185.31,187.76,3426373,185.001,180.04749999999999,181.34579999999997,0.006108670024648877
2011-02-18,187.54,188.5,185.13,186.5,4179840,186.05800000000002,180.5015,181.55,-0.006710694503621606
2011-02-22,183.68,184.72,179.32,180.42,5639603,186.457,180.68,181.6614,-0.032600536193029606
2011-02-23,180.25,181.15,174.39,176.68,5487836,185.81900000000002,180.679,181.6826,-0.020729409156412748
2011-02-24,176.86,179.75,174.56,177.75,4661139,185.064,180.79699999999997,181.75260000000003,0.006056146705909038
2011-02-25,178.95,180.75,177.1,177.24,4194513,184.167,180.4365,181.8186,-0.0028691983122361986
2011-02-28,173.91,175.89,172.15,173.29,6788008,182.571,180.544,181.77300000000002,-0.022286165651094647
2011-03-01,173.53,173.96,168.67,169.44,5847442,180.473,180.534,181.601,-0.022217092734722055
2011-03-02,169.09,173.3,168.35,172.02,5186387,178.772,180.5295,181.4898,0.015226628895184113
2011-03-03,173.71,174.46,172.05,172.79,4139103,177.38899999999998,180.4925,181.27980000000002,0.004476223694919179
2011-03-04,172.62,172.75,169.51,171.67,4924494,175.78,180.3905,181.0182,-0.006481856588922974
2011-03-07,171.92,172.09,166.24,169.08,5933429,174.03799999999998,180.048,180.70460000000003,-0.015087085687656376
2011-03-08,169.39,169.71,166.72,166.89,4223892,172.685,179.57099999999997,180.3906,-0.012952448545067607
2011-03-09,166.67,169.75,163.9,169.05,7109626,171.922,178.8705,180.12879999999998,0.012942656839834754
2011-03-10,167.07,168.47,164.82,166.14,6000453,170.761,177.9125,179.82980000000003,-0.01721384205856269
2011-03-11,165.5,169.2,164.12,168.07,4607081,169.844,177.0055,179.52380000000002,0.011616708799807363
2011-03-14,166.6,168.08,164.57,166.73,4023986,169.18800000000002,175.8795,179.2034,-0.007972868447670645
2011-03-15,161.39,166.88,160.76,165.08,4938225,168.752,174.6125,178.905,-0.009896239429016851
2011-03-16,164.7,168.14,162.8701,164.7,5214641,168.02,173.396,178.51460000000003,-0.0023019142234069756
2011-03-17,165.91,166.3,160.78,160.97,6472879,166.83800000000002,172.1135,178.0338,-0.022647237401335674
2011-03-18,161.19,163.54,160.59,161.82,7449924,165.853,170.8165,177.5218,0.005280487047275795
2011-03-21,163.37,165.79,161.72,164.525,4055810,165.39749999999998,169.71775,177.09509999999997,0.016716104313434732
2011-03-22,164.07,164.44,162.25,162.6,3612925,164.9685,168.82675,176.63729999999998,-0.011700349490958883
2011-03-23,162.3,166.26,160.82,165.32,4723629,164.5955,168.25875,176.25009999999997,0.016728167281672812
2011-03-24,168.21,172.0,167.36,171.1,6286822,165.0915,167.92625,175.9853,0.03496249697556264
2011-03-25,171.64,173.49,170.3,170.98,4294301,165.3825,167.61325,175.7233,-0.0007013442431327288
2011-03-28,171.8,172.5,169.25,169.35,3400935,165.6445,167.41625,175.39970000000002,-0.009533278746052143
2011-03-29,170.73,174.84,170.07,174.62,4887442,166.5985,167.67525,175.11710000000002,0.031118984351933943
2011-03-30,177.78,181.16,177.66,179.42,6860584,168.07049999999998,168.04524999999998,174.88050000000004,0.027488260222196637
2011-03-31,179.31,181.57,178.5,180.13,4828344,169.9865,168.41225,174.7457,0.003957195407424008
2011-04-01,181.58,183.25,178.59,180.13,5686426,171.8175,168.83525,174.7091,0.0
2011-04-04,180.89,183.61,180.69,182.94,4189691,173.65900000000002,169.52825,174.8195,0.015599844556709153
2011-04-05,182.105,186.36,181.8,185.29,5570057,175.928,170.44825,174.9883,0.012845741773259034
2011-04-06,186.15,188.27,181.12,182.76,5431264,177.672,171.13375,175.1095,-0.013654271682227881
2011-04-07,182.78,185.17,181.76,184.91,4565546,179.053,172.07225,175.2999,0.011764062158021504
2011-04-08,185.26,186.22,182.78,184.71,3727205,180.426,172.90425,175.30509999999998,-0.001081607268400786
2011-04-11,184.86,186.49,181.85,184.04,3297827,181.89499999999998,173.76975,175.56310000000002,-0.003627307671485114
2011-04-12,183.06,184.59,179.42,180.48,5340272,182.481,174.53975,175.77990000000003,-0.019343620951966956
2011-04-13,180.83,182.88,179.8,182.29,4228309,182.76799999999997,175.41925,175.9835,0.010028812056737557
2011-04-14,181.39,182.08,179.36,181.82,3589688,182.93699999999998,176.46175,176.1493,-0.0025783092873992164
2011-04-15,181.0,181.78,179.0196,180.01,4272898,182.925,177.37125,176.2753,-0.009954900450995452
2011-04-18,178.38,178.91,175.37,178.34,4617287,182.46499999999997,178.06199999999998,176.3235,-0.009277262374312478
2011-04-19,178.35,179.47,176.6,178.82,2647482,181.81799999999998,178.873,176.37130000000002,0.0026914881686666003
2011-04-20,181.62,185.0,181.59,183.87,4068096,181.929,179.8005,176.3875,0.02824068896096632
2011-04-21,184.56,185.97,183.046,185.89,3351734,182.027,180.54000000000002,176.39929999999995,0.010986022733452838
2011-04-25,185.65,186.35,183.77,185.42,3439713,182.098,181.262,176.3835,-0.002528376997148807
2011-04-26,186.27,186.42,180.738,182.3,11240569,181.924,181.9095,176.24450000000002,-0.016826663790313723
2011-04-27,183.2,197.8,182.75,196.63,23622948,183.539,183.01,176.3687,0.07860669226549644
2011-04-28,195.96,196.79,192.27,195.07,7277475,184.817,183.7925,176.48949999999996,-0.007933682550984145
2011-04-29,194.38,196.59,193.78,195.81,6640872,186.21599999999998,184.57649999999998,176.6733,0.0037935100220434226
2011-05-02,196.57,203.42,196.18,201.19,9399302,188.334,185.62949999999998,176.94189999999998,0.02747561411572441
2011-05-03,201.0,202.59,196.69,198.45,6053288,190.34499999999997,186.405,177.1809,-0.013618967145484384
2011-05-04,198.25,201.86,195.37,199.97,6551398,192.45999999999998,187.13899999999998,177.5719,0.007659360040312535
2011-05-05,198.66,201.0,196.12,197.11,4638221,193.784,187.8565,177.9805,-0.014302145321798188
2011-05-06,199.1,199.56,196.56,197.6,4017936,194.95499999999998,188.49099999999999,178.3775,0.0024859215666377388
2011-05-09,198.34,202.36,196.78,200.8,5826057,196.493,189.2955,178.84869999999998,0.01619433198380582
